rank,seller_id,title,slug,products_seen
1359,57197,LEAF,leaf,2
1360,32958,Santa Shop Kids,santashopkids,2
1361,36463,Кладовая рукоделия,kladmag,2
1362,75740,Lusdiaz,lusdiaz,2
1363,66727,Годный Secret Shop,godsecretshop,1
1364,26137,EGOZA21,egoza21,1
1365,517,Home it's Me,homeitsme,1
1366,18062,ART-HOUSE,art-house,1
1367,25007,DaLi,dali,1
1368,75689,Nice choice,nice-choice,1
1369,20346,МИР ТРЕНДОВЫХ ТОВАРОВ,trendoshop,1
1370,19772,УспехМаркет,uspehmarket,1
1371,34892,Argo&Navis,argonavis,1
1372,4113,рукодельный,rukodel,1
