group,title,sku,seller_sku_id,product_id,sale_price,total_stock,units_sold_window,priority_score,fill_cogs,fill_source,fill_comment
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ВНУЧКА,,939089,299.0,8,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-КОНФЕТН-2,,2201234,249.0,7,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ВОЛК,,939089,289.0,6,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка на руку Домашний кукольный театр Доктор  внучка Машенька,WONDERS-03663-ЗЕЛЕН,,2331513,1499.0,1,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-МАРСАЛ-2,,2201234,249.0,6,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-МЕДВЕДЬ,,939089,289.0,5,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ПЕТУШОК,,939089,289.0,4,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ЖЕЛТ-1,,2201234,128.0,8,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка на руку Домашний кукольный театр Доктор  внучка Машенька,WONDERS-03663-БЕЖЕВ,,2331513,299.0,2,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка 'Акула',WONDERS-АКУЛА-ФИОЛЕТ,,2334363,584.1,1,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ЗАЯЦ,,939089,289.0,2,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-АМЕТИС-1,,2201234,128.0,1,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек для ванны,WONDERS-ИГРВАНН,,13772,260.0,0,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек для купания BONDIBON - 'Корабль дельфин утенок черепаха',WONDERS-НАБВАН1,,39096,300.0,0,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек-пищалок для купания BONDIBON Подводный мир 8 шт/упак,WONDERS-НАБВАН2,,39098,385.0,0,0,75.55,,,
Мягкие игрушки и театр,Держатель игрушек для ванной комнаты,WONDERS-ДЕРЖИГР-ЛЯГУШОН,,56807,350.0,0,0,75.55,,,
Мягкие игрушки и театр,Держатель игрушек для ванной комнаты,WONDERS-ДЕРЖИГР-УТЁНОК,,56807,350.0,0,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек для купания в ванной Сачок-акула и 3 рыбки Bondibon Baby You,WONDERS-BB3130,,122211,450.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкие животные 2в1 Bondibon Вывернушка 17 см,WONDERS-ВЫВЕРНУ-КОРИЧН,,156519,390.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкие животные 2в1 Bondibon Вывернушка 17 см,WONDERS-ВЫВЕРНУ-ОРАНЖ,,156519,390.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкие животные 2в1 Bondibon Вывернушка 17 см,WONDERS-ВЫВЕРНУ-РОЗОВ,,156519,390.0,0,0,75.55,,,
Мягкие игрушки и театр,Набор игрушек для купания Bondibon Baby You 7 предметов с крокодилом,WONDERS-ВВ2637,,304814,345.0,0,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка 'Тигр' ,WONDERS-04210,,938919,255.0,0,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка. Кукольный театр. Лиса Мышка Медведь Кот Заяц Лягушка,WONDERS-КУКПЕРЧ-ЛЯГУШКА,,939089,289.0,0,0,75.55,,,
Мягкие игрушки и театр,Ёлка новогодняя с игрушками. Дереявянная ёлочка для декора,WONDERS-ВВ5210-ЛЗЕЛЕН,,1999473,1350.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ВИШН-1,,2201234,128.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ВИШН-2,,2201234,249.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ГОЛУБ-2,,2201234,249.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка Енот Мишка,WONDERS-9418189-СЕРЫЙ,,2330951,599.0,0,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка на руку Домашний кукольный театр Доктор  внучка Машенька,WONDERS-03663-АЛЫЙ,,2331513,299.0,0,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка на руку Домашний кукольный театр Доктор  внучка Машенька,WONDERS-03663-ЖЕЛТ,,2331513,1499.0,0,0,75.55,,,
Мягкие игрушки и театр,Игрушка мягкая Зайка Мия с длинными ушками в подарок девочке Мякиши 30 см,WONDERS-ЗАЙКА-ГОЛУБ,,2348487,1299.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка Плюшевый мишка Шарлотта Фенек Миранда Зайчик Мякиши,WONDERS-МЯКИШИ-БЕЖЕВ,,2409130,680.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка Плюшевый мишка Шарлотта Фенек Миранда Зайчик Мякиши,WONDERS-МЯКИШИ-РЫЖИЙ,,2409130,680.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-АЛЫЙ-2,,2201234,249.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ИНДИГО-2,,2201234,249.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-КРАСН-1,,2201234,128.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-СИНИЙ-1,,2201234,128.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка Плюшевый мишка Шарлотта Фенек Миранда Зайчик Мякиши,WONDERS-МЯКИШИ-БЕЛЫЙ,,2409130,680.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка Плюшевый мишка Шарлотта Фенек Миранда Зайчик Мякиши,WONDERS-МЯКИШИ-КОНФЕТН,,2409130,599.0,0,0,75.55,,,
Мягкие игрушки и театр,Мягкая игрушка Плюшевый мишка Шарлотта Фенек Миранда Зайчик Мякиши,WONDERS-МЯКИШИ-НГОЛУБ,,2409130,680.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-КОНФЕТН-1,,2201234,128.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ПУРПУР-1,,2201234,118.0,0,0,75.55,,,
Мягкие игрушки и театр,Мяч детский прыгун мягкий Мячик Смайлик спорт в комплекте,WONDERS-МЯЧ-ПУРПУР-2,,2201234,249.0,0,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка на руку Домашний кукольный театр Доктор  внучка Машенька,WONDERS-03663-ОРАНЖ,,2331513,299.0,0,0,75.55,,,
Мягкие игрушки и театр,Кукла-перчатка на руку Домашний кукольный театр Доктор  внучка Машенька,WONDERS-03663-СЕРЫЙ,,2331513,299.0,0,0,75.55,,,
Конструкторы,Конструктор для девочек 'Фургон кафе-мороженое' блочный,WONDERS-519540-КОНФЕТН,,2330939,1690.0,15,0,67.75,,,
Конструкторы,Конструктор 'Акула' 3 варианта сборки,WONDERS-9673016,,2336173,1290.0,16,0,67.75,,,
Конструкторы,Конструктор для мальчиков- трансформер 'Динозавр' 3 варианта сборки,WONDERS-ДИНОЗ-ЗЕЛЕН,,2327715,1290.0,11,0,67.75,,,
Конструкторы,Конструктор для девочек 'Замок принцессы',WONDERS-PRINC-ЛАВАНД,,2330053,1521.0,7,0,67.75,,,
