rank,product_id,title,sold,price,active,rating
63,417036,"Счетный материал ""Палочки для счета"", 50 дет",119,235.0,21,4.7
64,45757,"Набор животных Bondibon ""Ребятам о Зверятах""",118,399.0,29,4.4
65,949901,"Игра развивающая - тренажер ""Часы. Который час. Времена года"" Двусторонние обучающие часы",115,349.0,21,5.0
66,309224,"Шнуровка ""Компот"" Три кота развивающая деревянная игрушка",114,175.0,0,5.0
67,1500901,"Магнитная кукла ""Одевашки. Лиза"" Развивающая игра для девочек",113,679.0,8,5.0
68,1500878,"Кукла Магнитная с нарядами / одеждой ""Одевашки Настя"", развивающая игра для девочек",109,569.0,14,5.0
69,2409130,"Мягкая игрушка Плюшевый мишка Шарлотта, Фенек Миранда, Зайчик Мякиши",106,680.0,0,4.8
70,950109,"Настольная игра МЕМО ""Носочки""",105,369.0,7,4.8
71,131411,"Пазлы ""Животные"" деревянные",105,199.0,10,4.3
72,950401,"Настольная игра Baby Toys ""Азбука для самых маленьких"", русский алфавит",104,400.5,17,5.0
73,30429,"Детское Домино Половинки, ""Животные и игрушки"" 28 плашек",103,801.0,27,4.8
74,213965,"Книга для купания и игр в ванной ""Кто чья мама?"",  Bondibon",102,199.0,0,5.0
75,2692084,"Книжка-шуршалка ""Мои первые слова"", 10х11 см",100,359.0,19,5.0
76,711319,Деревянная музыкальная игрушка Дудочка,100,199.0,0,5.0
77,711154,"Деревянная игрушка ""Гусеница""",100,180.0,0,4.8
78,2279644,Настольная детская игра ходилка бродилка Зимняя Новогодняя,99,299.0,0,5.0
79,2338726,"Новогодняя игра-ходилка ""Зимние приключения с фантами""",96,199.0,12,4.3
80,2223434,"Мяч детский, прыгун мягкий, мячик-антистресс ""Смайлик - фрукты""",95,145.0,23,5.0
81,711297,"Деревянная игрушка ""Волчок""",95,120.0,0,5.0
82,309192,"Пазлы детские деревянные Карамелька ""Три кота"" развивающая деревянная игрушка",95,329.0,0,5.0
83,923206,"Развивающая настольная игра в слова для детей и взрослых Словодел ""Великан"", 42 х 33 см",94,849.0,0,5.0
84,969659,"Шахматы, шашки, кто первый, крестики-нолики. Магнитная игра 4 в 1",93,395.0,6,5.0
85,2537919,"Развивающие черно-белые карточки / картинки для новорожденных Животные, Абстракция 0+",92,199.0,10,5.0
86,3064968,"Детские накладные ногти Сияй ярче звёзд, 12 шт",91,249.0,99,0.0
87,348,Деревянный конструктор - сортер Паровозик. Развивающая игрушка,91,1150.0,0,4.8
88,1031582,Набор Фотошар. Новогодний шар с фото на ёлку. Ёлочная игрушка,88,480.0,0,5.0
89,537495,"Кубики ""Азбука для самых маленьких"", буквы, русский алфавит, умные кубики для детей",88,299.0,2,4.7
90,1328530,"Кубики детские с картинками, 4 штуки",87,199.0,2,5.0
91,2743846,Набор для опытов. Опыты детские. Большой набор,86,1251.0,18,3.7
92,1091981,Ёлочка новогодняя. Развивающая игра для малыей на липучках,86,349.0,0,5.0
93,955611,"Пазлы детские мягкие Дисней ""Королевские питомцы"", 12 эл. Пазлы для девочек",86,135.0,33,5.0
94,2378213,"Пазл детский ""Синий трактор"", транспорт, животные, на ферме, 35 элементов",85,159.0,20,5.0
95,937685,"Магнитная игра ""Азбука с картинками"", 54 элемента. Русский алфавит",85,245.0,14,3.0
96,13316,Деревянный свисток - человечек,84,60.0,0,3.8
97,2694873,"Магнитная игра ""Тёмная история""",82,319.0,7,5.0
98,2975468,"Оригами для мальчиков, девочек, набор для творчества",80,199.0,51,5.0
99,1313424,"Развивающая игра ""Мама и малыш"", карточки на липучках",80,749.0,0,5.0
100,2973504,"Выращивание кристаллов. Химические опыты для детей. Дед Мороз, Снегурочка, Ёлочка",79,219.0,0,5.0
101,1829591,Доски для выжигания с рисунком,79,230.0,3,5.0
102,931821,"Пазлы мягкие 24 элемента ""Герои Disney"": Холодное сердце, Моана, Белоснежка и семь гномов""",77,165.0,4,5.0
103,258149,"Книга для купания и игр в ванной ""Дикие животные"" Bondibon, 12х12 см",77,245.0,0,4.9
104,2380711,"Пазл детский Синий трактор, Транспорт, животные дикие, домашние, на ферме, 24 элемента",76,139.0,64,5.0
105,438367,"Деревянная игрушка - шнуровка ""Рыбка""",76,155.0,0,5.0
106,899236,Пазлы детские контурные Транспорт / Машинки. Первые пазлы малыша,75,315.0,25,5.0
