abc_profit,abc_revenue,available_to_ship,avg_daily_sales_official,avg_daily_stock_official,avg_unit_revenue,barcode,cogs,current_winner,damaged,gross_profit,historical_only_hit,in_sale,inventory_row_id,key,marketplace_fee,net_revenue,product_id,profit_margin_pct,reorder_candidate,returns,returns_stock,revenue,sale_price,seller_sku_id,sku,stale_stock,status,stock_cover_days,stock_value_sale,stockout_risk,storage_cost_per_day,title,to_ship,total_stock,turnover_days_official,units_sold
C,C,1000,0.0,0.0,0.0,1000000039160,0.0,False,0,0.0,True,0,3916,WONDERS-ВКЛЖИВ1-УГОЛЬН,0.0,0.0,2051,0.0,False,0,0,0.0,199.0,,WONDERS-ВКЛЖИВ1-УГОЛЬН,False,Закончился,,0.0,False,0.0,Игрушка-вкладыши 'Животные',0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042061,0.0,False,0,0.0,True,0,4206,WONDERS-НГНАВЛ1-ЧЕРН,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-ЧЕРН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042078,0.0,False,0,0.0,True,0,4207,WONDERS-НГНАВЛ1-СЕРЫЙ,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-СЕРЫЙ,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042085,0.0,False,0,0.0,True,0,4208,WONDERS-НГНАВЛ1-СЕРЕБРН,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-СЕРЕБРН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042092,0.0,False,0,0.0,True,0,4209,WONDERS-НГНАВЛ1-БЕЛЫЙ,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-БЕЛЫЙ,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042108,0.0,False,0,0.0,True,0,4210,WONDERS-НГНАВЛ1-КОРИЧН,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-КОРИЧН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042115,0.0,False,0,0.0,True,0,4211,WONDERS-НГНАВЛ1-ТРАКОТ,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-ТРАКОТ,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042122,0.0,False,0,0.0,True,0,4212,WONDERS-НГНАВЛ1-ОЛИВК,0.0,0.0,2183,0.0,False,0,0,0.0,199.0,,WONDERS-НГНАВЛ1-ОЛИВК,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042160,0.0,False,0,0.0,True,0,4216,WONDERS-НГНВЛ1-ЧЕРН,0.0,0.0,2185,0.0,False,0,0,0.0,199.0,,WONDERS-НГНВЛ1-ЧЕРН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042177,0.0,False,0,0.0,True,0,4217,WONDERS-НГНВЛ1-УГОЛЬН,0.0,0.0,2185,0.0,False,0,0,0.0,199.0,,WONDERS-НГНВЛ1-УГОЛЬН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042184,0.0,False,0,0.0,True,0,4218,WONDERS-НГНВЛ1-БЕЛЫЙ,0.0,0.0,2185,0.0,False,0,0,0.0,199.0,,WONDERS-НГНВЛ1-БЕЛЫЙ,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042191,0.0,False,0,0.0,True,0,4219,WONDERS-НГНВЛ1-КОРИЧН,0.0,0.0,2185,0.0,False,0,0,0.0,199.0,,WONDERS-НГНВЛ1-КОРИЧН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042207,0.0,False,0,0.0,True,0,4220,WONDERS-НГНВЛ1-ОЛИВК,0.0,0.0,2185,0.0,False,0,0,0.0,199.0,,WONDERS-НГНВЛ1-ОЛИВК,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042214,0.0,False,0,0.0,True,0,4221,WONDERS-НГНВЛ1-ХАКИ,0.0,0.0,2185,0.0,False,0,0,0.0,199.0,,WONDERS-НГНВЛ1-ХАКИ,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042221,0.0,False,0,0.0,True,0,4222,WONDERS-НГНВЛ1-СЕРЕБРН,0.0,0.0,2185,0.0,False,0,0,0.0,250.0,,WONDERS-НГНВЛ1-СЕРЕБРН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042238,0.0,False,0,0.0,True,0,4223,WONDERS-НГНВЛ1-КРАСН,0.0,0.0,2185,0.0,False,0,0,0.0,250.0,,WONDERS-НГНВЛ1-КРАСН,False,Закончился,,0.0,False,0.0,Новогодние декоративные наволочки 45х45 см,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042283,0.0,False,0,0.0,True,0,4228,WONDERS-ЮБКДЁЛ1,0.0,0.0,2187,0.0,False,0,0,0.0,250.0,,WONDERS-ЮБКДЁЛ1,False,Закончился,,0.0,False,0.0,Юбка для новогодней ёлки,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042290,0.0,False,0,0.0,True,0,4229,WONDERS-ЮБДЁЛБ1,0.0,0.0,1814,0.0,False,0,0,0.0,390.0,,WONDERS-ЮБДЁЛБ1,False,Закончился,,0.0,False,0.0,Юбка для новогодней ёлки белая,0,0,0.0,0
C,C,1000,0.0,0.0,0.0,1000000042306,0.0,False,0,0.0,True,0,4230,WONDERS-РЖДНСК1,0.0,0.0,2188,0.0,False,0,0,0.0,350.0,,WONDERS-РЖДНСК1,False,Закончился,,0.0,False,0.0,Рождественский носок 45 см,0,0,0.0,0
