"ID","Наименование","Штрихкод","SKU","ID товара","К отправке","В продаже","Возврат","Брак","Себест. (руб.)","Стоимость продажи (руб.)","Общий остаток","Общая сумма остатков (руб.)","Себест. (сумма) (руб.)","Стоимость продажи (сумма) (руб.)","Остаток на СДХ","Остаток на фотостудии","Остаток на СДХ (сумма) (руб.)","Доступно к отправке","Статус","Среднесуточные продажи (шт.)","Среднесуточные остатки, (шт.)","Оборачиваемость","Габариты товара: длина (мм)","Габариты товара: ширина (мм)","Габариты товара: высота (мм)","Платные остатки (шт.)","Объем платных остатков (л)","Стоимость хранения (руб. в день)","Seller SKU ID"
"8150430","Карнавальный ободок Хэллоуин","2900078870766","WONDERS-ОБОДОК-ВИШН","2793423","0","0","4","0","60,00","199,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","0,500","1,000","2,000","193","144","16","0","0,00","0,00",""
"8194149","Книжка-раскраска водная многоразовая Рисуем водой. Загадки Найди и покажи","9785001456971","WONDERS-6249664-АМЕТИС","2882998","0","17","0","0","150,00","449,00","17","7633,00","2550,00","7633,00","0","0","0,00","983","В продаже","0,000","17,000","0,000","194","185","34","0","0,00","0,00",""
"8194150","Книжка-раскраска водная многоразовая Рисуем водой. Загадки Найди и покажи","9785001456957","WONDERS-6249664-ЗЕЛЕН","2882998","0","20","0","0","150,00","449,00","20","8980,00","3000,00","8980,00","0","0","0,00","980","В продаже","0,000","20,000","0,000","196","187","33","0","0,00","0,00",""
"8194151","Книжка-раскраска водная многоразовая Рисуем водой. Загадки Найди и покажи","9785001456865","WONDERS-6249664-ПУДР","2882998","0","0","0","0","150,00","449,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","1,000","1,000","1,000","200","187","24","0","0,00","0,00",""
"8272168","Книжка-раскраска водная многоразовая Рисуем водой. Загадки Найди и покажи","1000082721687","WONDERS-6249664-КОРИЧН","2882998","0","18","0","0","150,00","449,00","18","8082,00","2700,00","8082,00","0","0","0,00","982","В продаже","0,000","18,000","0,000","199","196","13","0","0,00","0,00",""
"8353322","Книжка-раскраска водная многоразовая Рисуем водой. Загадки Найди и покажи","9785001926306","WONDERS-6249664-ЖЕЛТ","2882998","0","17","0","0","160,00","449,00","17","7633,00","2720,00","7633,00","0","0","0,00","983","В продаже","0,000","17,000","0,000","203","189","25","0","0,00","0,00",""
"8353911","Веселая настольная игра Объяснялка Объясни жестами","4606088050836","WONDERS-05081-ЗЕЛЕН","2379766","0","0","0","0","78,00","269,00","0","0,00","0,00","0,00","0","0","0,00","1000","Закончился","0,000","0,000","0,000","94","62","12","0","0,00","0,00",""
"8353965","Набор для девочек: временная тату заколки браслетик Единорог Котёнок Корги","2900073935958","WONDERS-ТАТУ-ПУДР","2449674","0","1","1","0","87,00","230,00","1","230,00","87,00","230,00","0","0","0,00","999","В продаже","0,000","1,000","0,000","216","168","14","0","0,00","0,00",""
"8354061","Картина по номерам детская ракраска. Холсте с подрамником Единорог Пони Холодное сердце","6900104881298","WONDERS-21Х15-БЕЖЕВ","2515846","0","18","0","0","182,00","343,20","18","6177,60","3276,00","6177,60","0","0","0,00","982","В продаже","0,017","18,783","1127,000","216","171","35","0","0,00","0,00","wow-21х15-бежевый"
"8357005","Мялка антистресс тянучка Собака с песком","2900072945194","WONDERS-МОПС","2973506","0","3","2","0","78,00","249,00","3","747,00","234,00","747,00","0","0","0,00","997","В продаже","0,017","3,217","193,000","109","94","38","0","0,00","0,00",""
"8357434","Фигурка MARVEL Мстители коллекционная 7 см","6900104157454","WONDERS-MARVEL","2973589","0","10","1","0","153,00","329,00","10","3290,00","1530,00","3290,00","0","0","0,00","990","В продаже","0,000","10,000","0,000","73","55","50","0","0,00","0,00",""
"8361963","Набор для опытов. Опыты детские. Большой набор","1000083619631","WONDERS-ОПЫТЫ12-КРАСН","2743846","0","0","0","0","580,00","1290,00","0","0,00","0,00","0,00","0","0","0,00","1000","В продаже","0,053","1,000","19,000","217","157","96","0","0,00","0,00","wow-опыты12-КРАСН"
"8362175","Электронный музыкальный плакат игрушка Новогодний звук","6900095458486","WONDERS-ПЛАКАТ-ГОЛУБ","2974158","0","11","1","0","195,00","270,00","11","2970,00","2145,00","2970,00","0","0","0,00","989","В продаже","0,000","11,000","0,000","445","287","63","0","0,00","0,00",""
"8362329","Ёлочный шар под раскраску на новый год Холодное сердце Эльза и Олаф","6900070246213","WONDERS-ШАР-БЕЛЫЙ","2974849","0","3","0","0","29,00","149,00","3","447,00","87,00","447,00","0","0","0,00","997","В продаже","0,000","3,000","0,000","127","113","56","0","0,00","0,00",""
